Gene_accession no.	Gene	Group	Family	Class	Phenotype	PMID	Mechanism of resistance	Notes	Required_gene
blaCMY-59_1_NG_048854	blaCMY-59	blaCMY	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	21930573	Enzymatic inactivation	"Class C;CMY-2-like;, curated"	
blaCMY-50_1_FN645444	blaCMY-50	blaCMY	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	Unpublished	Enzymatic inactivation	"Class C;CMY-2-like;, curated"	
blaCMY-43_1_FJ360626	blaCMY-43	blaCMY	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	Unpublished	Enzymatic inactivation	"Class C;CMY-2-like;, curated"	
blaCMY-39_1_AB372224	blaCMY-39	blaCMY	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	26777914	Enzymatic inactivation	"Class C;CMY-2-like;Natural in Citrobacter freundii;, curated"	
blaCMY-31_1_EF622224	blaCMY-31	blaCMY	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	18065410	Enzymatic inactivation	"Class C;CMY-2-like;, curated"	
blaCMY-30_1_LMYO01000054	blaCMY-30	blaCMY	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	19414570	Enzymatic inactivation	"Class C;CMY-2-like;, curated"	
blaCMY-16_1_AJ781421	blaCMY-16	blaCMY	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	16436718, 23800906	Enzymatic inactivation	"Class C;CMY-2-like;, curated"	
blaCMY-10_1_AF381615	blaCMY-10	blaCMY	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	15383166	Enzymatic inactivation	"Class C;MOX-1-like;, curated"	
blaCMY-11_1_AF357599	blaCMY-11	blaCMY	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	15380255	Enzymatic inactivation	"Class C;MOX-1-like;, curated"	
blaCMY-8b_1_DQ094251	blaCMY-8b	blaCMY	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	Unpublished	Enzymatic inactivation	"Class C;MOX-1-like;, curated"	
blaCMY-4_1_LNHZ01000079	blaCMY-4	blaCMY	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	9868767	Enzymatic inactivation	"Class C;CMY-2-like;, curated"	
blaCMY-2b_1_U77414	blaCMY-2b	blaCMY	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	9231418	Enzymatic inactivation	"Class C;CMY-2-like;, curated"	
blaDHA-27_1_MH067965	blaDHA-27	blaDHA	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	Unpublished	Enzymatic inactivation	"Class C;, curated"	
blaDHA-26_1_MH067966	blaDHA-26	blaDHA	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	Unpublished	Enzymatic inactivation	"Class C;, curated"	
blaDHA-25_1_KY563770	blaDHA-25	blaDHA	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	Unpublished	Enzymatic inactivation	"Class C;DHA-1-like;, curated"	
blaDHA-24_1_KU759569	blaDHA-24	blaDHA	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	Unpublished	Enzymatic inactivation	"Class C;DHA-1-like;, curated"	
blaDHA-23_1_KX068223	blaDHA-23	blaDHA	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	25999942	Enzymatic inactivation	"Class C;DHA-1-like;, curated"	
blaDHA-22_1_KM087856	blaDHA-22	blaDHA	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	Unpublished	Enzymatic inactivation	"Class C;DHA-1-like;, curated"	
blaDHA-21_1_KM087847	blaDHA-21	blaDHA	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	9066104	Enzymatic inactivation	"Class C;DHA-1-like;Natural in Morganella morganii;, curated"	
blaDHA-20_1_KM087848	blaDHA-20	blaDHA	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	Unpublished	Enzymatic inactivation	"Class C;DHA-1-like;, curated"	
blaDHA-19_1_KM087849	blaDHA-19	blaDHA	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	Unpublished	Enzymatic inactivation	"Class C;DHA-1-like;Natural in Morganella morganii;, curated"	
blaDHA-18_1_KM087841	blaDHA-18	blaDHA	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	Unpublished	Enzymatic inactivation	"Class C;DHA-1-like;Natural in Morganella morganii;, curated"	
blaDHA-17_1_KM087850	blaDHA-17	blaDHA	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	Unpublished	Enzymatic inactivation	"Class C;DHA-1-like;Natural in Morganella morganii;, curated"	
blaDHA-16_1_KM087852	blaDHA-16	blaDHA	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	Unpublished	Enzymatic inactivation	"Class C;DHA-1-like;Natural in Morganella morganii;, curated"	
blaDHA-15_1_KM087853	blaDHA-15	blaDHA	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	Unpublished	Enzymatic inactivation	"Class C;DHA-1-like;, curated"	
blaDHA-14_1_DQ478687	blaDHA-14	blaDHA	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	Unpublished	Enzymatic inactivation	"Class C;DHA-1-like;, curated"	
blaDHA-13_1_KM087855	blaDHA-13	blaDHA	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	Unpublished	Enzymatic inactivation	"Class C;DHA-1-like;Natural in Morganella morganii;, curated"	
blaDHA-12_1_HG798963	blaDHA-12	blaDHA	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	Unpublished	Enzymatic inactivation	"Class C;DHA-1-like;, curated"	
blaDHA-10_1_KP050490	blaDHA-10	blaDHA	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	Unpublished	Enzymatic inactivation	"Class C;DHA-1-like;Natural in Morganella morganii;, curated"	
blaDHA-9_1_KJ207201	blaDHA-9	blaDHA	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	Unpublished	Enzymatic inactivation	"Class C;DHA-1-like;Natural in Morganella morganii;, curated"	
blaDHA-4_1_CP026046	blaDHA-4	blaDHA	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	Unpublished	Enzymatic inactivation	"Class C;DHA-1-like;Natural in Morganella morganii;, curated"	
blaACC-7_1_MG028657	blaACC-7	blaACC	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	Unpublished	Enzymatic inactivation	"Class C;, curated"	
blaACC-5_1_HE819401	blaACC-5	blaACC	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	24267783	Enzymatic inactivation	"Class C;ACC-1-like;Natural in Hafnia alvei;, curated"	
blaACC-4_2_EF504260	blaACC-4	blaACC	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	17664321, 20956594	Enzymatic inactivation	"Class C;ACC-1-like;, curated"	
blaACC-4_1_KM087831	blaACC-4	blaACC	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	17664321	Enzymatic inactivation	"Class C;, curated"	
blaACC-1_2_HG530658	blaACC-1	blaACC	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	Unpublished	Enzymatic inactivation	"Class C;ACC-1-like;, curated"	
blaACC-1_1_AJ133121	blaACC-1	blaACC	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	10428914	Enzymatic inactivation	"Class C;, curated"	
blaACC-1d_1_ADCU02000001	blaACC-1d	blaACC	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	Unpublished	Enzymatic inactivation	"Class C;ACC-1-like;Natural in Hafnia alvei;, curated"	
blaACC-1c_1_AF180959	blaACC-1c	blaACC	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	10817695	Enzymatic inactivation	"Class C;ACC-1-like;Natural in Hafnia alvei;, curated"	
blaACC-1b_1_AF180955	blaACC-1b	blaACC	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	10817695	Enzymatic inactivation	"Class C;ACC-1-like;Natural in Hafnia alvei;, curated"	
blaACC-1a_1_AF180953	blaACC-1a	blaACC	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	10817695	Enzymatic inactivation	"Class C;ACC-1-like;Natural in Hafnia alvei;, curated"	
blaTEM-52_1_Y13612	blaTEM-52	blaTEM	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	9449269	Enzymatic inactivation	Class A, curated	
blaTEM-40_1_FR717535	blaTEM-40	blaTEM	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	Unpublished	Enzymatic inactivation	Class A, curated	
blaTEM-36_1_KY305958	blaTEM-36	blaTEM	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	8067742	Enzymatic inactivation	Class A, curated	
blaTEM-35_1_KP860986	blaTEM-35	blaTEM	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	25779568, 8067742	Enzymatic inactivation	Class A, curated	
blaTEM-32_1_CXLQ01000061	blaTEM-32	blaTEM	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid	Unpublished	Enzymatic inactivation	Class A, curated	
blaTEM-26_1_LDCJ01000052	blaTEM-26	blaTEM	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	Unpublished	Enzymatic inactivation	Class A, curated	
blaTEM-19_1_JX042489	blaTEM-19	blaTEM	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	23838947	Enzymatic inactivation	Class A, curated	
blaTEM-9_1_KY271103	blaTEM-9	blaTEM	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	Unpublished	Enzymatic inactivation	Class A, curated	
blaTEM-4_1_LK391770	blaTEM-4	blaTEM	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	25691645	Enzymatic inactivation	Class A, curated	
blaTEM-169_1_KP012538	blaTEM-169	blaTEM	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	19785534	Enzymatic inactivation	Class A, curated	
blaTEM-144_1_AM049400	blaTEM-144	blaTEM	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	16436745	Enzymatic inactivation	Class A, curated	
blaTEM-129_1_AJ746225	blaTEM-129	blaTEM	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	15472005	Enzymatic inactivation	Class A, curated	
blaTEM-128_1_AY368237	blaTEM-128	blaTEM	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin	15650379	Enzymatic inactivation	Class A, curated	
blaTEM-181_1_KM977568	blaTEM-181	blaTEM	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	Class A, curated	
blaTEM-191_1_KY432484	blaTEM-191	blaTEM	Beta-lactam	Beta-lactam		22718774	Enzymatic inactivation	Class A, curated	
blaTEM-196_1_JQ034306	blaTEM-196	blaTEM	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	Class A, curated	
blaTEM-210_1_KJ484630	blaTEM-210	blaTEM	Beta-lactam	Beta-lactam		24920651	Enzymatic inactivation	Class A, curated	
blaTEM-212_1_KF481968	blaTEM-212	blaTEM	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	Class A, curated	
blaTEM-213_1_LJEE02000034	blaTEM-213	blaTEM	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	28636609	Enzymatic inactivation	Class A, curated	
blaTEM-214_1_KP050491	blaTEM-214	blaTEM	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	Class A, curated	
blaTEM-215_1_KP050492	blaTEM-215	blaTEM	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	Class A, curated	
blaTEM-216_1_KF944358	blaTEM-216	blaTEM	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	Class A, curated	
blaTEM-217_1_HG934763	blaTEM-217	blaTEM	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	Class A, curated	
blaTEM-219_1_KM114268	blaTEM-219	blaTEM	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	Class A, curated	
blaTEM-220_1_KM998962	blaTEM-220	blaTEM	Beta-lactam	Beta-lactam		25367903	Enzymatic inactivation	Class A, curated	
blaTEM-224_1_KU664545	blaTEM-224	blaTEM	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	Class A, curated	
blaTEM-225_1_KY432403	blaTEM-225	blaTEM	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	Class A, curated	
blaTEM-226_1_KY646301	blaTEM-226	blaTEM	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	Class A, curated	
blaTEM-227_1_KY418040	blaTEM-227	blaTEM	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	Class A, curated	
blaTEM-229_1_MG821356	blaTEM-229	blaTEM	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	Class A, curated	
blaTEM-230_1_MG821377	blaTEM-230	blaTEM	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	Class A, curated	
blaTEM-231_1_MG821378	blaTEM-231	blaTEM	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	Class A, curated	
blaTEM-232_1_MH079593	blaTEM-232	blaTEM	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	Class A, curated	
blaTEM-233_1_MH270416	blaTEM-233	blaTEM	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	Class A, curated	
blaTEM-234_1_MH243353	blaTEM-234	blaTEM	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	Class A, curated	
blaSHV-1_1_AF148850	blaSHV-1	blaSHV	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin	10582889, 2221867, 3260490	Enzymatic inactivation	Class A, curated	
blaSHV-2_1_AF148851	blaSHV-2	blaSHV	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	10582889	Enzymatic inactivation	Class A, curated	
blaSHV-3_1_KX092356	blaSHV-3	blaSHV	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	2694951	Enzymatic inactivation	Class A, curated	
blaSHV-9_1_S82452	blaSHV-9	blaSHV	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	8674992	Enzymatic inactivation	Class A, curated	
blaSHV-11_1_X98101	blaSHV-11	blaSHV	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin	9145849	Enzymatic inactivation	Class A, curated	
blaSHV-12_1_KF976405	blaSHV-12	blaSHV	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	16678922, 26038408	Enzymatic inactivation	Class A, curated	
blaSHV-32_1_AY037778	blaSHV-32	blaSHV	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin	11557480	Enzymatic inactivation	Class A, curated	
blaSHV-38_1_AY079099	blaSHV-38	blaSHV	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	12543688	Enzymatic inactivation	Class A, curated	
blaSHV-42_1_AF535130	blaSHV-42	blaSHV	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	15047521	Enzymatic inactivation	Class A, curated	
blaSHV-71_1_AM176546	blaSHV-71	blaSHV	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin	19272757	Enzymatic inactivation	Class A, curated	
blaSHV-111_1_AB372881	blaSHV-111	blaSHV	Beta-lactam	Beta-lactam		19343954	Enzymatic inactivation	Class A, curated	
blaSHV-119_1_JX192924	blaSHV-119	blaSHV	Beta-lactam	Beta-lactam		26075080	Enzymatic inactivation	Class A, curated	
blaSHV-189_1_KP050494	blaSHV-189	blaSHV	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	Class A, curated	
blaSHV-188_1_LN515534	blaSHV-188	blaSHV	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	Class A, curated	
blaSHV-187_1_LN515533	blaSHV-187	blaSHV	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	Class A, curated	
blaSHV-186_1_KM233165	blaSHV-186	blaSHV	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	Class A, curated	
blaSHV-185_1_KM233164	blaSHV-185	blaSHV	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	Class A, curated	
blaSHV-183_1_HG934764	blaSHV-183	blaSHV	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	Class A, curated	
blaSHV-182_1_KP050489	blaSHV-182	blaSHV	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	Class A, curated	
blaSHV-180_1_KP050487	blaSHV-180	blaSHV	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	Class A, curated	
blaSHV-190_1_KP868753	blaSHV-190	blaSHV	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	Class A, curated	
blaSHV-191_1_KP868754	blaSHV-191	blaSHV	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	Class A, curated	
blaSHV-193_1_KR347170	blaSHV-193	blaSHV	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	Class A, curated	
